noise,label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
0.000,"Sample 88","B016/S128","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.351784,0.445991,1.000000,-0.000713,0.000000,0.000155,0.000
0.000,"Sample 89","B012348/S2346","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.032324,0.993032,1.000000,-0.008554,0.000000,0.004802,0.000
0.000,"Sample 90","B345678/S012368","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.629528,0.728120,1.000000,0.004176,0.000000,0.000038,0.000
0.000,"Sample 91","B013578/S147","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.434856,0.579844,1.000000,-0.001040,0.000000,0.000096,0.000
0.000,"Sample 92","B127/S14568","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.455548,0.321683,1.000000,-0.001545,0.000000,0.000076,0.000
0.000,"Sample 93","B13568/S015678","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.986120,0.000016,1.000000,0.047093,0.000000,0.000463,0.000
0.000,"Sample 94","B0235/S0123","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.003028,0.974896,0.999000,0.008461,-0.000480,0.012935,0.000
0.000,"Sample 95","B568/S0135","Frozen","Frozen: 100%",0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.118752,0.000000,1.000000,-0.000607,0.000000,0.000053,0.000
0.000,"Sample 96","B01567/S17","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.336840,0.547244,1.000000,-0.000654,0.000000,0.000196,0.000
0.000,"Sample 97","B01357/S0148","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.432712,0.583920,1.000000,-0.001158,0.000000,0.000092,0.000
0.000,"Sample 98","B1258/S03678","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.413112,0.520717,1.000000,-0.001645,0.000000,0.000097,0.000
